quarter,time,score,side,action,ev_class,raw_text
רבע 4,02:10,72-73,away,77. דווייט וילסון אסיסט,odd quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:10 72-73 77. דווייט וילסון אסיסט
רבע 4,06:41,66-65,home,15. יונתן קלר אסיסט,even quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר אסיסט רבע 4 06:41 66-65
רבע 4,09:20,61-60,away,9. עמית ראובן אסיסט,odd quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 09:20 61-60 9. עמית ראובן אסיסט
רבע 3,02:18,52-59,home,7. גל שטרנברג אסיסט,even quarter-3 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג אסיסט רבע 3 02:18 52-59
רבע 3,04:15,42-53,home,16. אוהד דקל שחקן נכנס למשחק,odd quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,16. אוהד דקל שחקן נכנס למשחק רבע 3 04:15 42-53
רבע 3,04:15,42-53,home,5. קינדל היל שחקן יוצא מהמגרש,even quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל שחקן יוצא מהמגרש רבע 3 04:15 42-53
רבע 2,04:43,34-34,home,6. ים שפריר אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר אסיסט רבע 2 04:43 34-34
רבע 1,00:03,22-22,home,6. ים שפריר החטיא 3 נק׳ (jumpshot),even quarter-1 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר החטיא 3 נק׳ (jumpshot) רבע 1 00:03 22-22
רבע 1,01:35,16-20,away,21. נועם יעקובי אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 01:35 16-20 21. נועם יעקובי אסיסט
רבע 1,04:06,10-11,home,6. ים שפריר שחקן נכנס למשחק,even quarter-1 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר שחקן נכנס למשחק רבע 1 04:06 10-11
רבע 1,04:06,10-11,home,1. איתם כהן שחקן יוצא מהמגרש,odd quarter-1 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,1. איתם כהן שחקן יוצא מהמגרש רבע 1 04:06 10-11
רבע 1,08:36,2-2,home,33. עילי שאול אסיסט,even quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול אסיסט רבע 1 08:36 2-2
רבע 4,03:41,66-69,home,6. ים שפריר סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר סחט עבירה רבע 4 03:41 66-69
רבע 4,03:41,66-69,away,21. נועם יעקובי עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:41 66-69 21. נועם יעקובי עבירה אישית (personal)
רבע 4,02:55,69-71,home,6. ים שפריר סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר סחט עבירה רבע 4 02:55 69-71
רבע 4,02:55,69-71,away,6. אמרי שביט עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:55 69-71 6. אמרי שביט עבירה אישית (personal)
רבע 4,03:15,69-71,away,3. רוברט טרנר קליעה 3 נק׳ (jumpshot),even quarter-4 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:15 69-71 3. רוברט טרנר קליעה 3 נק׳ (jumpshot)
רבע 3,00:39,57-60,home,6. ים שפריר איבוד כדור,odd quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר איבוד כדור רבע 3 00:39 57-60
רבע 3,00:39,57-60,home,6. ים שפריר חטיפה,even quarter-3 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר חטיפה רבע 3 00:39 57-60
רבע 3,00:39,57-60,away,21. נועם יעקובי איבוד כדור,odd quarter-3 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 00:39 57-60 21. נועם יעקובי איבוד כדור
רבע 3,00:50,57-60,away,21. נועם יעקובי אסיסט,even quarter-3 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 00:50 57-60 21. נועם יעקובי אסיסט
רבע 3,01:16,54-60,away,3. רוברט טרנר ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 01:16 54-60 3. רוברט טרנר ריבאונד הגנה
רבע 3,01:16,54-60,home,15. יונתן קלר החטיא 3 נק׳ (jumpshot),even quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,15. יונתן קלר החטיא 3 נק׳ (jumpshot) רבע 3 01:16 54-60
רבע 3,01:16,54-60,home,6. ים שפריר ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר ריבאונד הגנה רבע 3 01:16 54-60
רבע 3,01:16,54-60,away,77. דווייט וילסון החטיא 2 נק׳ (layup),even quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 01:16 54-60 77. דווייט וילסון החטיא 2 נק׳ (layup)
רבע 4,00:01,80-83,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),even quarter-4 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:01 80-83 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 4,00:04,80-83,away,9. עמית ראובן ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 80-83 9. עמית ראובן ריבאונד התקפה
רבע 4,00:04,80-83,away,9. עמית ראובן זריקת עונשין (2of2),even quarter-4 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 80-83 9. עמית ראובן זריקת עונשין (2of2)
רבע 4,00:04,80-83,away,9. עמית ראובן קליעת עונשין (1of2),odd quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 80-83 9. עמית ראובן קליעת עונשין (1of2)
רבע 4,00:04,79-83,away,6. אמרי שביט שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 79-83 6. אמרי שביט שחקן נכנס למשחק
רבע 4,00:04,79-83,away,4. שחר שלמון שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 79-83 4. שחר שלמון שחקן יוצא מהמגרש
רבע 4,00:04,79-83,away,9. עמית ראובן סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:04 79-83 9. עמית ראובן סחט עבירה
רבע 4,00:04,79-83,home,9. עמרי שלף עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף עבירה אישית (personal) רבע 4 00:04 79-83
רבע 4,00:07,79-83,home,5. קינדל היל קליעת עונשין (2of2),even quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל קליעת עונשין (2of2) רבע 4 00:07 79-83
רבע 4,00:07,79-82,home,5. קינדל היל זריקת עונשין (1of2),odd quarter-4 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל זריקת עונשין (1of2) רבע 4 00:07 79-82
רבע 4,00:07,79-82,away,32. בן גולד שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:07 79-82 32. בן גולד שחקן נכנס למשחק
רבע 4,00:07,79-82,away,6. אמרי שביט שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:07 79-82 6. אמרי שביט שחקן יוצא מהמגרש
רבע 4,00:07,79-82,away,77. דווייט וילסון שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:07 79-82 77. דווייט וילסון שחקן נכנס למשחק
רבע 4,00:07,79-82,away,11. בר שינבוים שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:07 79-82 11. בר שינבוים שחקן יוצא מהמגרש
רבע 4,00:07,79-82,home,5. קינדל היל סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל סחט עבירה רבע 4 00:07 79-82
רבע 4,00:07,79-82,away,3. רוברט טרנר עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:07 79-82 3. רוברט טרנר עבירה אישית (personal)
רבע 4,00:10,79-82,away,4. שחר שלמון שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:10 79-82 4. שחר שלמון שחקן נכנס למשחק
רבע 4,00:10,79-82,away,77. דווייט וילסון שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:10 79-82 77. דווייט וילסון שחקן יוצא מהמגרש
רבע 4,00:10,79-82,home,מ.כ עוטף דרום פסק זמן,even quarter-4 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,מ.כ עוטף דרום פסק זמן רבע 4 00:10 79-82
רבע 4,00:10,79-82,away,77. דווייט וילסון קליעה 2 נק׳ (tipindunk),odd quarter-4 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:10 79-82 77. דווייט וילסון קליעה 2 נק׳ (tipindunk)
רבע 4,00:10,77-82,away,77. דווייט וילסון ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:10 77-82 77. דווייט וילסון ריבאונד התקפה
רבע 4,00:11,77-82,away,6. אמרי שביט החטיא 2 נק׳ (layup),odd quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:11 77-82 6. אמרי שביט החטיא 2 נק׳ (layup)
רבע 4,00:13,77-82,away,מכבי אשדוד ריבאונד הגנה,odd quarter-4 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:13 77-82 מכבי אשדוד ריבאונד הגנה
רבע 4,00:15,77-82,away,11. בר שינבוים חסימה של,odd quarter-4 key-blk sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:15 77-82 11. בר שינבוים חסימה של
רבע 4,00:15,77-82,home,9. עמרי שלף החטיא 2 נק׳ (layup),even quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף החטיא 2 נק׳ (layup) רבע 4 00:15 77-82
רבע 4,00:20,77-82,home,6. ים שפריר ריבאונד הגנה,even quarter-4 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר ריבאונד הגנה רבע 4 00:20 77-82
רבע 4,00:24,77-82,away,3. רוברט טרנר החטיא 3 נק׳ (jumpshot),odd quarter-4 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:24 77-82 3. רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,00:28,77-82,away,מכבי אשדוד פסק זמן,odd quarter-4 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:28 77-82 מכבי אשדוד פסק זמן
רבע 4,00:28,77-82,home,9. עמרי שלף אסיסט,even quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף אסיסט רבע 4 00:28 77-82
רבע 4,00:28,77-82,home,7. גל שטרנברג קליעה 2 נק׳ (layup),odd quarter-4 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג קליעה 2 נק׳ (layup) רבע 4 00:28 77-82
רבע 4,00:37,77-80,away,77. דווייט וילסון קליעה 2 נק׳ (layup),odd quarter-4 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:37 77-80 77. דווייט וילסון קליעה 2 נק׳ (layup)
רבע 4,00:38,75-80,away,77. דווייט וילסון ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:38 75-80 77. דווייט וילסון ריבאונד התקפה
רבע 4,00:43,75-80,away,3. רוברט טרנר החטיא 2 נק׳ (layup),odd quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 00:43 75-80 3. רוברט טרנר החטיא 2 נק׳ (layup)
רבע 4,00:49,75-80,home,5. קינדל היל קליעה 2 נק׳ (layup),even quarter-4 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל קליעה 2 נק׳ (layup) רבע 4 00:49 75-80
רבע 4,00:51,75-78,home,5. קינדל היל ריבאונד התקפה,odd quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל ריבאונד התקפה רבע 4 00:51 75-78
רבע 4,00:56,75-78,home,6. ים שפריר החטיא 2 נק׳ (layup),even quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר החטיא 2 נק׳ (layup) רבע 4 00:56 75-78
רבע 4,01:15,75-78,away,11. בר שינבוים שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 01:15 75-78 11. בר שינבוים שחקן נכנס למשחק
רבע 4,01:15,75-78,away,32. בן גולד שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 01:15 75-78 32. בן גולד שחקן יוצא מהמגרש
רבע 4,01:15,75-78,home,מ.כ עוטף דרום פסק זמן,even quarter-4 key-tmo sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,מ.כ עוטף דרום פסק זמן רבע 4 01:15 75-78
רבע 4,01:15,75-78,away,3. רוברט טרנר קליעת עונשין (1of1),odd quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 01:15 75-78 3. רוברט טרנר קליעת עונשין (1of1)
רבע 4,01:15,74-78,home,33. עילי שאול שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול שחקן נכנס למשחק רבע 4 01:15 74-78
רבע 4,01:15,74-78,home,23. נבו זומרפלד שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד שחקן יוצא מהמגרש רבע 4 01:15 74-78
רבע 4,01:15,74-78,away,3. רוברט טרנר סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 01:15 74-78 3. רוברט טרנר סחט עבירה
רבע 4,01:15,74-78,home,6. ים שפריר עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר עבירה אישית (personal) רבע 4 01:15 74-78
רבע 4,01:15,74-78,away,3. רוברט טרנר קליעה 2 נק׳ (layup),even quarter-4 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 01:15 74-78 3. רוברט טרנר קליעה 2 נק׳ (layup)
רבע 4,01:28,72-78,home,7. גל שטרנברג אסיסט,even quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג אסיסט רבע 4 01:28 72-78
רבע 4,01:28,72-78,home,6. ים שפריר קליעה 3 נק׳ (jumpshot),odd quarter-4 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר קליעה 3 נק׳ (jumpshot) רבע 4 01:28 72-78
רבע 4,01:43,72-75,home,9. עמרי שלף ריבאונד הגנה,even quarter-4 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף ריבאונד הגנה רבע 4 01:43 72-75
רבע 4,01:46,72-75,away,3. רוברט טרנר החטיא 3 נק׳ (jumpshot),odd quarter-4 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 01:46 72-75 3. רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,01:49,72-75,away,77. דווייט וילסון סחט עבירה,odd quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 01:49 72-75 77. דווייט וילסון סחט עבירה
רבע 4,01:49,72-75,home,9. עמרי שלף עבירה אישית (personal),even quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,9. עמרי שלף עבירה אישית (personal) רבע 4 01:49 72-75
רבע 4,02:01,72-75,away,77. דווייט וילסון ריבאונד התקפה,odd quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:01 72-75 77. דווייט וילסון ריבאונד התקפה
רבע 4,02:05,72-75,away,3. רוברט טרנר החטיא 3 נק׳ (jumpshot),odd quarter-4 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:05 72-75 3. רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 4,02:50,69-71,home,23. נבו זומרפלד שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד שחקן נכנס למשחק רבע 4 02:50 69-71
רבע 4,02:50,69-71,home,33. עילי שאול שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול שחקן יוצא מהמגרש רבע 4 02:50 69-71
רבע 4,02:05,72-75,home,6. ים שפריר קליעת עונשין (2of2),even quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר קליעת עונשין (2of2) רבע 4 02:05 72-75
רבע 4,02:05,72-74,home,6. ים שפריר קליעת עונשין (1of2),odd quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר קליעת עונשין (1of2) רבע 4 02:05 72-74
רבע 4,02:05,72-73,home,6. ים שפריר סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר סחט עבירה רבע 4 02:05 72-73
רבע 4,02:05,72-73,away,3. רוברט טרנר עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:05 72-73 3. רוברט טרנר עבירה אישית (personal)
רבע 4,02:10,72-73,away,3. רוברט טרנר קליעה 3 נק׳ (jumpshot),odd quarter-4 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:10 72-73 3. רוברט טרנר קליעה 3 נק׳ (jumpshot)
רבע 4,02:13,69-73,away,77. דווייט וילסון ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:13 69-73 77. דווייט וילסון ריבאונד התקפה
רבע 4,02:17,69-73,away,32. בן גולד החטיא 3 נק׳ (jumpshot),odd quarter-4 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 02:17 69-73 32. בן גולד החטיא 3 נק׳ (jumpshot)
רבע 4,02:25,69-73,home,23. נבו זומרפלד אסיסט,even quarter-4 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד אסיסט רבע 4 02:25 69-73
רבע 4,02:25,69-73,home,5. קינדל היל קליעה 2 נק׳ (jumpshot),odd quarter-4 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל קליעה 2 נק׳ (jumpshot) רבע 4 02:25 69-73
רבע 4,02:55,69-71,home,6. ים שפריר ריבאונד התקפה,odd quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר ריבאונד התקפה רבע 4 02:55 69-71
רבע 4,02:58,69-71,home,33. עילי שאול החטיא 2 נק׳ (pullupjumpshot),even quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול החטיא 2 נק׳ (pullupjumpshot) רבע 4 02:58 69-71
רבע 4,03:19,66-71,away,3. רוברט טרנר ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:19 66-71 3. רוברט טרנר ריבאונד התקפה
רבע 4,03:19,66-71,away,77. דווייט וילסון החטיא 2 נק׳ (layup),odd quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:19 66-71 77. דווייט וילסון החטיא 2 נק׳ (layup)
רבע 4,03:41,66-69,away,77. דווייט וילסון שחקן נכנס למשחק,even quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:41 66-69 77. דווייט וילסון שחקן נכנס למשחק
רבע 4,03:41,66-69,away,21. נועם יעקובי שחקן יוצא מהמגרש,odd quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:41 66-69 21. נועם יעקובי שחקן יוצא מהמגרש
רבע 4,03:40,66-71,home,6. ים שפריר קליעת עונשין (2of2),even quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר קליעת עונשין (2of2) רבע 4 03:40 66-71
רבע 4,03:40,66-70,home,6. ים שפריר קליעת עונשין (1of2),odd quarter-4 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר קליעת עונשין (1of2) רבע 4 03:40 66-70
רבע 4,05:37,66-69,away,3. רוברט טרנר סחט עבירה,even quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 05:37 66-69 3. רוברט טרנר סחט עבירה
רבע 4,05:37,66-69,home,6. ים שפריר עבירה אישית (personal),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר עבירה אישית (personal) רבע 4 05:37 66-69
רבע 4,03:40,66-69,home,6. ים שפריר ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר ריבאונד התקפה רבע 4 03:40 66-69
רבע 4,03:42,66-69,home,7. גל שטרנברג החטיא 2 נק׳ (layup),even quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג החטיא 2 נק׳ (layup) רבע 4 03:42 66-69
רבע 4,03:51,66-69,home,33. עילי שאול חטיפה,odd quarter-4 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול חטיפה רבע 4 03:51 66-69
רבע 4,03:51,66-69,away,21. נועם יעקובי איבוד כדור,even quarter-4 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:51 66-69 21. נועם יעקובי איבוד כדור
רבע 4,03:53,66-69,away,מכבי אשדוד ריבאונד התקפה,even quarter-4 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:53 66-69 מכבי אשדוד ריבאונד התקפה
רבע 4,03:54,66-69,away,3. רוברט טרנר החטיא 2 נק׳ (layup),even quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 03:54 66-69 3. רוברט טרנר החטיא 2 נק׳ (layup)
רבע 4,04:07,66-69,away,6. אמרי שביט ריבאונד הגנה,odd quarter-4 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 04:07 66-69 6. אמרי שביט ריבאונד הגנה
רבע 4,04:10,66-69,home,5. קינדל היל החטיא 2 נק׳ (layup),even quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל החטיא 2 נק׳ (layup) רבע 4 04:10 66-69
רבע 4,04:36,66-69,away,32. בן גולד שחקן נכנס למשחק,odd quarter-4 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 04:36 66-69 32. בן גולד שחקן נכנס למשחק
רבע 4,04:36,66-69,away,77. דווייט וילסון שחקן יוצא מהמגרש,even quarter-4 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 04:36 66-69 77. דווייט וילסון שחקן יוצא מהמגרש
רבע 4,04:37,66-69,home,5. קינדל היל סחט עבירה,odd quarter-4 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל סחט עבירה רבע 4 04:37 66-69
רבע 4,04:37,66-69,away,3. רוברט טרנר איבוד כדור,even quarter-4 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 04:37 66-69 3. רוברט טרנר איבוד כדור
רבע 4,04:37,66-69,away,3. רוברט טרנר עבירה אישית (offensive),odd quarter-4 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 04:37 66-69 3. רוברט טרנר עבירה אישית (offensive)
רבע 4,04:54,66-69,away,77. דווייט וילסון ריבאונד הגנה,odd quarter-4 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 04:54 66-69 77. דווייט וילסון ריבאונד הגנה
רבע 4,04:58,66-69,home,7. גל שטרנברג החטיא 3 נק׳ (jumpshot),even quarter-4 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג החטיא 3 נק׳ (jumpshot) רבע 4 04:58 66-69
רבע 4,05:04,66-69,home,7. גל שטרנברג ריבאונד הגנה,odd quarter-4 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג ריבאונד הגנה רבע 4 05:04 66-69
רבע 4,05:08,66-69,away,9. עמית ראובן החטיא 2 נק׳ (layup),even quarter-4 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 4 05:08 66-69 9. עמית ראובן החטיא 2 נק׳ (layup)
