quarter,time,score,side,action,ev_class,raw_text
רבע 3,08:10,42-47,home,23. נבו זומרפלד ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד ריבאונד הגנה רבע 3 08:10 42-47
רבע 3,08:15,42-47,away,3. רוברט טרנר החטיא 3 נק׳ (jumpshot),even quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 08:15 42-47 3. רוברט טרנר החטיא 3 נק׳ (jumpshot)
רבע 3,08:28,42-47,home,7. גל שטרנברג אסיסט,odd quarter-3 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,7. גל שטרנברג אסיסט רבע 3 08:28 42-47
רבע 3,08:28,42-47,home,23. נבו זומרפלד קליעה 2 נק׳ (jumpshot),even quarter-3 key-fgm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד קליעה 2 נק׳ (jumpshot) רבע 3 08:28 42-47
רבע 3,08:52,42-45,away,77. דווייט וילסון קליעת עונשין (2of2),even quarter-3 key-ftm sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 08:52 42-45 77. דווייט וילסון קליעת עונשין (2of2)
רבע 3,08:52,41-45,away,77. דווייט וילסון זריקת עונשין (1of2),odd quarter-3 key-fta sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 08:52 41-45 77. דווייט וילסון זריקת עונשין (1of2)
רבע 3,08:52,41-45,away,77. דווייט וילסון סחט עבירה,even quarter-3 key-pfa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 08:52 41-45 77. דווייט וילסון סחט עבירה
רבע 3,08:52,41-45,home,5. קינדל היל עבירה אישית (personal),odd quarter-3 key-pf sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל עבירה אישית (personal) רבע 3 08:52 41-45
רבע 3,09:11,41-45,away,מכבי אשדוד ריבאונד הגנה,even quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 09:11 41-45 מכבי אשדוד ריבאונד הגנה
רבע 3,09:12,41-45,home,5. קינדל היל החטיא 2 נק׳ (layup),even quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל החטיא 2 נק׳ (layup) רבע 3 09:12 41-45
רבע 3,09:15,41-45,home,23. נבו זומרפלד ריבאונד התקפה,odd quarter-3 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד ריבאונד התקפה רבע 3 09:15 41-45
רבע 3,09:18,41-45,home,5. קינדל היל החטיא 2 נק׳ (jumpshot),even quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל החטיא 2 נק׳ (jumpshot) רבע 3 09:18 41-45
רבע 3,09:38,41-45,home,5. קינדל היל ריבאונד הגנה,odd quarter-3 key-def sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,5. קינדל היל ריבאונד הגנה רבע 3 09:38 41-45
רבע 3,09:41,41-45,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),even quarter-3 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 09:41 41-45 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 3,09:43,41-45,away,77. דווייט וילסון ריבאונד התקפה,odd quarter-3 key-off sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 09:43 41-45 77. דווייט וילסון ריבאונד התקפה
רבע 3,09:50,41-45,away,3. רוברט טרנר החטיא 2 נק׳ (jumpshot),even quarter-3 key-fga sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 09:50 41-45 3. רוברט טרנר החטיא 2 נק׳ (jumpshot)
רבע 3,10:00,41-45,away,6. אמרי שביט שחקן נכנס למשחק,odd quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 10:00 41-45 6. אמרי שביט שחקן נכנס למשחק
רבע 3,10:00,41-45,away,3. רוברט טרנר שחקן נכנס למשחק,even quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 10:00 41-45 3. רוברט טרנר שחקן נכנס למשחק
רבע 3,10:00,41-45,away,11. בר שינבוים שחקן יוצא מהמגרש,odd quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 10:00 41-45 11. בר שינבוים שחקן יוצא מהמגרש
רבע 3,10:00,41-45,away,4. שחר שלמון שחקן יוצא מהמגרש,even quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 3 10:00 41-45 4. שחר שלמון שחקן יוצא מהמגרש
רבע 3,10:00,41-45,home,23. נבו זומרפלד שחקן נכנס למשחק,odd quarter-3 key-sub-in sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,23. נבו זומרפלד שחקן נכנס למשחק רבע 3 10:00 41-45
רבע 3,10:00,41-45,home,6. ים שפריר שחקן יוצא מהמגרש,even quarter-3 key-sub-out sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר שחקן יוצא מהמגרש רבע 3 10:00 41-45
רבע 1,00:36,21-20,away,21. נועם יעקובי אסיסט,odd quarter-1 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 1 00:36 21-20 21. נועם יעקובי אסיסט
רבע 2,00:02,41-45,away,9. עמית ראובן החטיא 3 נק׳ (jumpshot),odd quarter-2 key-threepa sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 00:02 41-45 9. עמית ראובן החטיא 3 נק׳ (jumpshot)
רבע 2,00:06,41-45,home,33. עילי שאול אסיסט,odd quarter-2 key-ast sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,33. עילי שאול אסיסט רבע 2 00:06 41-45
רבע 2,00:06,41-45,home,6. ים שפריר קליעה 3 נק׳ (jumpshot),even quarter-2 key-threepm sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר קליעה 3 נק׳ (jumpshot) רבע 2 00:06 41-45
רבע 2,00:29,41-42,home,6. ים שפריר חטיפה,odd quarter-2 key-stl sp-vertical-timeline-minute sp-vertical-timeline-minute-home home_event_minute,6. ים שפריר חטיפה רבע 2 00:29 41-42
רבע 2,00:29,41-42,away,9. עמית ראובן איבוד כדור,even quarter-2 key-to sp-vertical-timeline-minute sp-vertical-timeline-minute-away away_event_minute,רבע 2 00:29 41-42 9. עמית ראובן איבוד כדור
